HS Code,Description,CD,SD,VAT,AIT,RD,ATV,
01051310,Parent stock of one day chick of ducks,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01051390,Other ducks,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01051410,Parent stock of one day chick of geese,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01051490,Other Geese,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01051510,Parent stock of one day chick of guinea  fowls,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01051590,Other fowls,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01059400,Fowls of the species Gallus domesticus,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01059900,Live Ducks; Geese; Turkeys And Guinea Fowls Weighing >185g,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01061100,MAMMALS; PRIMATES,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01061200,WHALES;DOLPHINS &...;SEALS;SEA LIONS & WALRUSES(MAMMALS OF THE SUBORDER PINNIPEDIA),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01061300,Camels and other camelids ( Camelidae),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01061400,Rabbits and hares,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01061900,MAMMALS; NES,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01062000,REPTILES (INCLUDING SNAKES AND TURTLES),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01063100,BIRDS OF PREY,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01063200,PSITTACIFORMES (INCLUDING PARROTS; PARAKEETS; MACAWS AND COCKATOOS),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01063300,Ostriches; emus ( Dromaius novaehollandiae),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01063900,OTHER BIRDS,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01064100,Bees,CD 0%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,11.33,
01064900,Other Insects,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01069000,OTHER LIVE ANIMALS; NES,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
02011010,Fresh Or Chilled Bovine Carcasses And Half Carcasses; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02011090,Fresh Or Chilled Bovine Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02012010,Fresh Or Chilled;Other Cuts Of Bovine Meat With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02012090,Fresh Or Chilled;Other Cuts Of Bovine Meat With Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02013010,Fresh Or Chilled Boneless Bovine Meat;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02013090,Fresh Or Chilled Boneless Bovine Meat; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02021010,Frozen Bovine Carcasses And Half Carcasses; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02021090,Frozen Bovine Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02022010,Frozen Other Cuts Of Bovine Meat With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02022090,Frozen; Other Cuts Of Bovin Meat With Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02023010,Frozen Boneless Bovine Meat;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02023090,Frozen Boneless Bovine Meat; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02031110,Fresh Or Chilled Swine Carcasses And Half Carcasses; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02031190,Fresh Or Chilled Swine Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02031210,Fresh Or Chilled Hams;Shoulders&Cuts Thereof;With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02031290,Fresh/Chilled Hams;Shoulders & Cuts Thereof;With Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02031910,Fresh Or Chilled Swine Meat; Nes;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02031990,Fresh Or Chilled Swine Meat; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02032110,Frozen Swine Carcasses And Half Carcasses;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02032190,Frozen Swine Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02032210,Frozen Hams;Shoulders & Cuts Thereof;With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02032290,Frozen Hams;Shoulders & Cuts Thereof Of Swine;With Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02032910,Frozen Swine Meat; Nes; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02032990,Frozen Swine Meat; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02041010,Fresh/Chilled Lamb Carcasses And Half Carcasses; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02041090,Fresh Or Chilled Lamb Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02042110,Fresh Or Chilled Sheep Carcasses & Half Carcasses; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02042190,Fresh Or Chilled Sheep Carcasses & Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02042210,Fresh Or Chilled Other Cuts Of Meat Of Sheep; With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02042290,Fresh Or Chilled Other Cuts Of Meat Of Sheep;With Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02042310,Fresh Or Chilled Boneless Meat Of Sheep; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02042390,Fresh Or Chilled Boneless Meat Of Sheep; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02043010,Frozen Lamb Carcasses And Half Carcasses;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02043090,Frozen Lamb Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02044110,Frozen Sheep Carcasses And Half Carcasses;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02044190,Frozen Sheep Carcasses And Half Carcasses; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02044210,Frozen Other Cuts Of Meat Of Sheep; With Bone In; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02044290,Frozen Other Cuts Of Meat Of Sheep; Bone In; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02044310,Frozen Meat Of Sheep; Boneless;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02044390,Frozen Meat Of Sheep; Boneless; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02045010,Fresh; Chiled Or Frozen Goat Meat;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02045090,Fresh; Chiled Or Frozen Goat Meat; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02050010,Meat Of Horses;Asses;Mules/Hinnies; Fersh; Chilled Or Frozen; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02050090,Meat Of Horses;Asses;Mules Or Hinnies; Fresh;Chilled Or Frozen; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02061010,Fresh Or Chilled Edible Offal Of Bovine Animal; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02061090,Fresh Or Chilled Edible Offal Of Bovine Animals; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02062110,Frozen  Bovine Tongues; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02062190,Frozen Bovine Tounge; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02062210,Frozen Bovine Livers; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02062290,Frozen Bovine Livers; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02062910,Frozen Edible Bovine Offal (Excl. Tongues And Livers); Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02062990,Frozen Edible Bovine Offal (Excl. Tongues And Livers); Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02063010,Fresh Or Chilled Edible Swine Offal;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02063090,Fresh Or Chilled Edible Swine Offal; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02064110,Frozen Swine Livers; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02064190,Frozen Swine Livers; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02064910,Frozen Edible Swine Offal(Excl. Livers);  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02064990,Frozen Edible Swine Offal; Excl. Livers; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02068010,Fresh Or Chilled Edible Offal Of Sheep;Goats;Horses..; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02068090,Fresh Or Chilled Edible Offal Of Sheep;Goats;Horses...; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02069010,Frozen Edible Offal Of Sheep;Goats;Horses..; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02069090,Frozen Edible Offal Of Sheep;Goats;Horses...; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02071110,Fresh/Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02071190,Fresh Or Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02071210,Frozen Meat&Edible Offal Of Fowls Not Cut Inpieces; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02071290,Frozen Meat & Edible Offals Of Fowls Not Cut Inpieces; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02071310,Fresh Or Chilled Cuts And Offal Of Meat Fowls; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02071390,Fresh Or Chilled Cuts And Offal Of Chickens; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02071410,Frozen Cuts And Offal Of Chicken;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02071490,Frozen Cuts And Offal Meat Of Fowls; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02072410,Fresh/Chilled Meat&Edible Offal Of Turkeys Not Cut Inpieces; Wrapped/Canned upto 2.5,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02072490,Fresh Or Chilled Meat & Edible Offal Of Trukeys Not Cut Inpieces; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02072510,Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02072590,Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02072610,Fresh Or Chilled Cuts And Offal Of Meat Of Turkeys; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02072690,Fresh Or Chilled Cuts And Offal Of Meat Of Trukeys; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02072710,Frozen Cuts And Offal Of Meat Of Turkeys;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02072790,Frozen Cuts And Offal Of Meat Of Turkeys; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02074110,Meat and edible offal of not cut in pieces; fresh or chilled of ducks wrapped/canned,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02074190,Other meat and edible offal of not cut in pieces; fresh or chilled of ducks,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02074210,Meat and edible offal of not cut in pieces; frozen of ducks wrapped/canned upto 2.5 k,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02074290,Other meat and edible offal of not cut in pieces; frozen of ducks,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02074310,Meat and edible offal of fatty livers; fresh or chilled of ducks wrapped/canned upto,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02074390,Other meat and edible offal of fatty livers; fresh or chilled of ducks,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02074410,Other meat and edible offal of fresh or chilled of ducks wrapped/canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02074490,Other; meat and edible offal of fresh or chilled of ducks nes.,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02074510,Other frozen meat and edible offal of ducks wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02074590,Other; frozen meat and edible offal of ducks nes;,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02075110,Meat and edible offal not cut in pieces; fresh or chilled of geese wrapped/canned upto 2,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02075190,Other meat and edible offal not cut in pieces; fresh or chilled of geese,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02075210,Meat and edible offal not cut in pieces; frozen of ducks wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02075290,Other meat and edible offal not cut in pieces; frozen of geese,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02075310,Meat and edible offal fatty livers; fresh or chilled of geese wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02075390,Other meat and edible offal fatty livers; fresh or chilled of geese,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02075410,Other meat and edible offal fresh or chilled of geese wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02075490,Other meat and edible offal fresh or chilled of geese; nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02075510,Other meat and edible offal frozen geese wrapped/canned upto 25 k,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02075590,Other meat and edible offal frozen of geese nes;,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02076010,Meat and edible offal of guinea fowls wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02076090,Meat and edible offal of guinea fowls EXCL. wrapped/canned upto 2.5 Kg,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02081010,Fresh;Chill. Or Froz.Meat And Edible Offal Of Rabbits;Hares; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02081090,Fresh;Chilled Or Froz.Meat And Edible Offal Of Rabbits Or Hares; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02083010,OTHER MEAT&EDIBLE MEAT OFFAL;FRESH;CHILLED OR FROZEN OF PRIMATES;Wrap./Can. upto 2.5kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02083090,OTHER MEAT&EDIBLE MEAT OFFAL;FRESH;CHILLED OR FROZEN OF PRIMATES; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02084010,OTHER MEAT & EDIBLE MEAT OFFAL OF WHALES;..(MAMMALS OF THE SUBORDER PINNIPEDIA)..2.5KG,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02084090,WHALES DOLPHINS & PORPOISES;.. MANATEES AND DUGONGS; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02085010,PEPTILES (INCLUDING SNAKES AND TURTLES); WRAPPED/CANNED upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02085090,REPTILES (INCLUDING SNAKES AND TURLTES); Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02086010,Meat and edible meat offal of camels and other camelids ( Camelidae) Wrapped/canned upto,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02086090,Other meat and edible meat offal of camels and other camelids ( Camelidae),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02089010,Fresh;Chilled Or Frozen Meat And Edible Offal; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02089090,Fresh;Chilled Or Frozen Meat And Edible Offal; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02091010,Pig fat not rendered or otherwise extracted; fresh; chilled; frozen; salted; in brine; d,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02091090,Other pig fat not rendered or otherwise extracted; fresh; chilled; frozen; salted; in br,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02099010,Free of lean meat; and poultry fat; not rendered or otherwise extracted; fresh; chi...ed,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02099090,Poultry fat free of lean meat excl.wrapped/canned upto 2.5 kg,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02101110,Hams;Shoulders & Cuts Thereof Bone In;Salted..Or Smoked;Wrapp/Can upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02101190,Swine Hams; Shoulders And Cuts Thereof;Bone In Salted..Or Smoked; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02101210,Bellies And Cuts Thereof Of Swine;Salted.. Or Smoked;Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02101290,Bellies & Cuts Thereof Swine;Salted.. Or Smoked; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02101910,Meat Of Swine;Salted... Or Smoked; Nes;  Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02101990,Meat Of Swine;Salted.. Or Smoked;Nes; (excl. wrapped/canned upto 2.5 kg),CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02102010,Meat Of Bovine Animals;Salted... Or Smoked; Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02102090,Meat Of Bovine Animals; Salted... Or Smoked; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02109110,OTHER;INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRI..;Wrap/Can upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02109190,OTHER;INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRIMATES; Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02109210,MEAT & EDIBLE MEAT OFFAL OF WHALES;DOLPHINS..OF SEAL;SEA LIONS & WALRUSES..UPTO 2.5 KG,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02109290,OTHER MEAT & EDIBLE MEAT..OF SEALS;SEA LIONS & WALRUSES(MAMMALS OF SUBORDER PINNIPEDIA),CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02109310,REPTILES (INCLUDING SNAKES AND TURTLES); WRAPPED/CANNED upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
02109390,REPTILES (INCLUDING SNAKES AND TURTLES); Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
02109910,MEAT AND EDIBLE MEAT OFFAL;SALTED;IN BRINE;DRIED OR SMOKED;OTHER; Wrap/Can upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
